Date,Open,High,Low,Close,Volume,- SPREAD -
14-06-2022,67500.00,69400.00,67500.00,68177.60,261,"1,900.00"
01-02-2022,72746.95,72746.95,71288.75,71506.90,444,"1,458.20"
31-01-2022,71985.45,72460.00,71348.70,72181.50,341,"1,111.30"
28-01-2022,71030.00,72819.90,71030.00,71385.45,264,"1,789.90"
27-01-2022,70500.00,71000.00,69500.00,70708.95,663,"1,500.00"
25-01-2022,71339.65,72299.80,69900.00,70577.20,820,"2,399.80"
24-01-2022,72850.00,72850.00,70007.00,71103.25,749,"2,843.00"
21-01-2022,73481.95,74700.00,72006.25,72727.85,802,"2,693.75"
20-01-2022,75898.10,75966.05,73539.65,73787.30,910,"2,426.40"
19-01-2022,76224.00,76724.00,75565.10,76547.05,274,"1,158.90"
18-01-2022,76810.00,77255.75,76132.55,76325.70,455,"1,123.20"
13-06-2022,69483.00,69483.00,68300.00,68561.25,240,"1,183.00"
17-01-2022,75857.85,77193.60,75857.85,76853.40,249,"1,335.75"
14-01-2022,75790.55,76250.00,75351.20,76130.30,219,898.80
13-01-2022,75533.35,76380.50,74987.80,75975.15,422,"1,392.70"
12-01-2022,74425.00,75484.85,74315.00,75254.10,211,"1,169.85"
11-01-2022,74424.95,74469.90,73900.10,74273.35,333,569.80
10-01-2022,74439.05,74950.00,74136.75,74288.35,191,813.25
07-01-2022,74449.95,74633.50,73560.90,74186.75,153,"1,072.60"
06-01-2022,74150.00,74385.25,73209.90,74133.65,169,"1,175.35"
05-01-2022,74100.00,74400.00,73774.75,74030.15,153,625.25
04-01-2022,73937.95,73998.00,73351.00,73929.00,490,647.00
10-06-2022,70200.00,70554.85,69770.00,69926.80,188,784.85
03-01-2022,73500.00,73943.10,73089.10,73374.00,198,854.00
31-12-2021,72394.00,73699.95,72224.60,73293.55,476,"1,475.35"
30-12-2021,72782.90,72782.90,71889.90,72139.95,202,893.00
29-12-2021,71197.10,72678.85,71197.10,72569.50,279,"1,481.75"
28-12-2021,70750.00,71994.80,70683.15,71579.05,219,"1,311.65"
27-12-2021,70091.40,70692.10,69300.00,70469.70,391,"1,392.10"
24-12-2021,71350.00,71392.10,69930.00,70056.00,497,"1,462.10"
23-12-2021,71079.95,71400.40,70750.05,71040.60,217,650.35
22-12-2021,70550.00,71280.20,70320.15,70535.60,298,960.05
21-12-2021,70840.00,71157.60,69954.85,70454.55,540,"1,202.75"
09-06-2022,70440.00,70752.40,70008.10,70354.10,246,744.30
20-12-2021,72599.00,72599.00,68719.90,69973.70,1418,"3,879.10"
17-12-2021,73780.00,73780.00,72102.35,72560.00,532,"1,677.65"
16-12-2021,74337.30,74382.00,73165.00,73335.20,244,"1,217.00"
15-12-2021,74189.95,74500.00,73820.00,73951.50,174,680.00
14-12-2021,73280.05,74199.80,73280.05,74055.00,220,919.75
13-12-2021,74500.00,75100.00,73650.80,73819.75,487,"1,449.20"
10-12-2021,74668.55,74950.00,74012.15,74270.65,285,937.85
